Day,Impressions,"CPM (Cost per 1,000 Impressions)",Link Clicks,CTR (Link Click-Through Rate),CPC (Cost per Link Click),Amount Spent,Messaging Conversations Started,Checkouts Initiated
2022-09-22,76,55.53,,,,4.22,,
2022-09-22,310,51.13,,,,15.85,,
2022-09-22,1340,25.62,6,0.45,5.72,34.33,,
2022-09-22,1480,30.06,11,0.74,4.04,44.49,8,
2022-09-22,582,31.19,3,0.52,6.05,18.15,,
2022-09-22,849,45.49,3,0.35,12.87,38.62,,3
2022-09-22,304,24.18,,,,7.35,,
2022-09-22,903,36.52,6,0.66,5.5,32.98,,
2022-09-22,1225,16.91,1,0.08,20.72,20.72,,
2022-09-22,1055,30.54,1,0.09,32.22,32.22,1,
2022-09-22,825,32.15,,,,26.52,,
2022-09-22,727,22.21,1,0.14,16.15,16.15,,
2022-09-22,165,19.58,,,,3.23,,
2022-09-22,1025,35.73,6,0.59,6.1,36.62,,
2022-09-22,339,20.32,,,,6.89,,
2022-09-22,310,25.39,3,0.97,2.62,7.87,,
2022-09-22,1172,36.82,6,0.51,7.19,43.15,,
2022-09-22,2575,10.57,7,0.27,3.89,27.21,1,
2022-09-22,236,36.44,2,0.85,4.3,8.6,,
2022-09-22,19,26.32,,,,0.5,,
2022-09-22,198,23.23,1,0.51,4.6,4.6,,
2022-09-22,1781,32.34,9,0.51,6.4,57.6,6,
2022-09-22,239,9.92,3,1.26,0.79,2.37,,
2022-09-22,44,34.77,,,,1.53,,
2022-09-22,49,122.86,,,,6.02,,
2022-09-22,2843,30.25,11,0.39,7.82,86,,1
2022-09-22,57,82.28,1,1.75,4.69,4.69,,
2022-09-23,123,64.8,1,0.81,7.97,7.97,,
2022-09-23,188,81.12,3,1.6,5.08,15.25,,1
2022-09-23,201,69.6,,,,13.99,1,
2022-09-23,1438,42,6,0.42,10.07,60.39,,
2022-09-23,729,38.67,3,0.41,9.4,28.19,1,
2022-09-23,264,40.61,,,,10.72,,
2022-09-23,529,28.85,,,,15.26,,
2022-09-23,207,37.1,,,,7.68,,
2022-09-23,281,17.12,,,,4.81,,
2022-09-23,171,21.52,,,,3.68,,
2022-09-23,38,65.26,1,2.63,2.48,2.48,1,
2022-09-23,498,28.84,,,,14.36,,
2022-09-23,2089,33.67,11,0.53,6.39,70.33,3,
2022-09-23,114,48.42,1,0.88,5.52,5.52,,
2022-09-23,254,41.22,,,,10.47,,
2022-09-23,102,48.73,,,,4.97,,
2022-09-23,1792,41.53,21,1.17,3.54,74.43,,
2022-09-23,56,42.68,1,1.79,2.39,2.39,,
2022-09-23,284,50.11,,,,14.23,,
2022-09-23,488,30.35,4,0.82,3.7,14.81,,
2022-09-23,345,48.52,3,0.87,5.58,16.74,,
2022-09-23,590,33.12,4,0.68,4.89,19.54,,1
2022-09-23,112,42.77,,,,4.79,,
2022-09-23,169,41.72,,,,7.05,,
2022-09-23,223,26.28,1,0.45,5.86,5.86,,
2022-09-23,84,47.14,,,,3.96,,
2022-09-23,941,45.72,6,0.64,7.17,43.02,,
2022-09-24,52,66.15,,,,3.44,,
2022-09-24,163,80.06,,,,13.05,1,
2022-09-24,131,82.21,2,1.53,5.39,10.77,2,1
2022-09-24,456,62.52,1,0.22,28.51,28.51,1,
2022-09-24,186,54.35,1,0.54,10.11,10.11,,
2022-09-24,358,43.52,,,,15.58,,
2022-09-24,188,53.56,,,,10.07,,
2022-09-24,272,39.74,,,,10.81,,
2022-09-24,132,32.73,4,3.03,1.08,4.32,1,
2022-09-24,11,49.09,,,,0.54,,
2022-09-24,10,33,,,,0.33,,
2022-09-24,184,33.32,2,1.09,3.07,6.13,,
2022-09-24,1275,39.99,10,0.78,5.1,50.99,2,1
2022-09-24,98,61.33,,,,6.01,,
2022-09-24,13,38.46,,,,0.5,,
2022-09-24,8,26.25,,,,0.21,,
2022-09-24,488,60.08,1,0.2,29.32,29.32,,
2022-09-24,9,38.89,,,,0.35,,
2022-09-24,35,83.14,2,5.71,1.46,2.91,,
2022-09-24,984,29.1,12,1.22,2.39,28.63,,1
2022-09-24,118,33.39,2,1.69,1.97,3.94,,
2022-09-24,1048,25.49,3,0.29,8.9,26.71,,
2022-09-24,31,53.23,,,,1.65,,
2022-09-24,1190,23.8,1,0.08,28.32,28.32,,
2022-09-24,178,19.27,,,,3.43,,
2022-09-24,150,17.93,1,0.67,2.69,2.69,,
2022-09-24,736,31.43,6,0.82,3.86,23.13,,
2022-09-25,28,84.29,,,,2.36,,
2022-09-25,73,100.55,,,,7.34,,
2022-09-25,88,89.09,1,1.14,7.84,7.84,,
2022-09-25,485,76.19,11,2.27,3.36,36.95,6,
2022-09-25,231,61,,,,14.09,,
2022-09-25,355,52.45,2,0.56,9.31,18.62,1,
2022-09-25,159,65.72,,,,10.45,,
2022-09-25,208,57.88,,,,12.04,,
2022-09-25,148,26.96,1,0.68,3.99,3.99,,
2022-09-25,8,38.75,,,,0.31,,
2022-09-25,5,46,,,,0.23,,
2022-09-25,114,49.39,1,0.88,5.63,5.63,,
2022-09-25,926,48.17,9,0.97,4.96,44.61,1,
2022-09-25,9,40,,,,0.36,,
2022-09-25,1050,42.63,17,1.62,2.63,44.76,,4
2022-09-25,19,34.74,,,,0.66,,
2022-09-25,257,32.1,3,1.17,2.75,8.25,,
2022-09-25,49,31.43,,,,1.54,,
2022-09-25,239,40.21,,,,9.61,,
2022-09-25,124,23.55,,,,2.92,,
2022-09-25,181,31.93,2,1.1,2.89,5.78,,
2022-09-25,490,68.43,3,0.61,11.18,33.53,,
